crop_code,crop_name,crop_cat1,bln_country,B_LU,B_LU_EOM,B_LU_EOM_RESIDUE,B_LU_HC,B_LU_WATERSTRESS_OBIC,B_LU_MAKKINK
2783,"waspeen, productie",arable,NL,nl_2783,700,0,0.24,bladgroenten,peen
2784,"waspeen, zaden en opkweekmateriaal",arable,NL,nl_2784,700,0,0.32,bladgroenten,peen
2785,"winterpeen, productie",arable,NL,nl_2785,700,0,0.24,bladgroenten,peen
2786,"winterpeen, zaden en opkweekmateriaal",arable,NL,nl_2786,700,0,0.32,bladgroenten,peen
2787,"witlofwortel, productie",arable,NL,nl_2787,600,0,0.24,zomergroenten,spitskool
2788,"witlofwortel, zaden en opkweekmateriaal",arable,NL,nl_2788,600,0,0.32,zomergroenten,spitskool
2789,"witte kool, productie",arable,NL,nl_2789,1000,150,0.32,zomergroenten,bloemkool
2790,"witte kool, zaden en opkweekmateriaal",arable,NL,nl_2790,1000,150,0.32,zomergroenten,bloemkool
2791,"overige niet genoemde bladgewassen, productie",arable,NL,nl_2791,300,0,0.35,bladgroenten,groenten
2792,"overige niet genoemde bladgewassen, zaden en opkweekmateriaal",arable,NL,nl_2792,300,0,0.32,bladgroenten,groenten
2793,"overige niet genoemde groenten, productie",arable,NL,nl_2793,0,0,0.22,zomergroenten,groenten
2794,"overige niet genoemde groenten, zaden en opkweekmateriaal",arable,NL,nl_2794,0,0,0.32,zomergroenten,groenten
